COD_MUERTE;SEXO;MES;Muertes;Código de la CIE-10 cuatro caracteres;Descripcion  de códigos mortalidad a cuatro caracteres
A049;Masculino;9;5;A049;Infeccion intestinal bacteriana, no especificada
A049;Masculino;10;1;A049;Infeccion intestinal bacteriana, no especificada
A049;Masculino;11;4;A049;Infeccion intestinal bacteriana, no especificada
A049;Masculino;12;5;A049;Infeccion intestinal bacteriana, no especificada
A049;Femenino;1;4;A049;Infeccion intestinal bacteriana, no especificada
A049;Femenino;2;7;A049;Infeccion intestinal bacteriana, no especificada
A049;Femenino;3;8;A049;Infeccion intestinal bacteriana, no especificada
A049;Femenino;4;4;A049;Infeccion intestinal bacteriana, no especificada
A049;Femenino;5;8;A049;Infeccion intestinal bacteriana, no especificada
A049;Femenino;6;2;A049;Infeccion intestinal bacteriana, no especificada
A049;Femenino;7;1;A049;Infeccion intestinal bacteriana, no especificada
A049;Femenino;8;4;A049;Infeccion intestinal bacteriana, no especificada
A049;Femenino;9;2;A049;Infeccion intestinal bacteriana, no especificada
A049;Femenino;10;6;A049;Infeccion intestinal bacteriana, no especificada
A049;Femenino;11;7;A049;Infeccion intestinal bacteriana, no especificada
A049;Femenino;12;5;A049;Infeccion intestinal bacteriana, no especificada
A059;Masculino;9;1;A059;Intoxicacion alimentaria bacteriana, no especificada
A060;Masculino;1;2;A060;Disenteria amebiana aguda
A060;Masculino;6;1;A060;Disenteria amebiana aguda
A060;Masculino;12;2;A060;Disenteria amebiana aguda
A060;Femenino;1;1;A060;Disenteria amebiana aguda
A064;Masculino;5;1;A064;Absceso amebiano del higado
A064;Masculino;8;1;A064;Absceso amebiano del higado
A064;Femenino;11;1;A064;Absceso amebiano del higado
A068;Masculino;8;1;A068;Infeccion amebiana de otras localizaciones
A069;Masculino;3;1;A069;Amebiasis, no especificada
A069;Masculino;4;1;A069;Amebiasis, no especificada
A069;Femenino;7;1;A069;Amebiasis, no especificada
A073;Femenino;11;1;A073;Isosporiasis
A084;Masculino;3;1;A084;Infeccion intestinal viral, sin otra especificacion
A084;Masculino;6;1;A084;Infeccion intestinal viral, sin otra especificacion
A084;Femenino;2;1;A084;Infeccion intestinal viral, sin otra especificacion
A084;Femenino;5;1;A084;Infeccion intestinal viral, sin otra especificacion
A084;Femenino;6;1;A084;Infeccion intestinal viral, sin otra especificacion
A084;Femenino;7;1;A084;Infeccion intestinal viral, sin otra especificacion
A084;Femenino;8;1;A084;Infeccion intestinal viral, sin otra especificacion
A085;Femenino;1;1;A085;Otras infecciones intestinales especificadas
A090;Masculino;1;16;A090;Otras gastroenteritis y colitis de origen infeccioso
A090;Masculino;2;17;A090;Otras gastroenteritis y colitis de origen infeccioso
A090;Masculino;3;19;A090;Otras gastroenteritis y colitis de origen infeccioso
A090;Masculino;4;18;A090;Otras gastroenteritis y colitis de origen infeccioso
A090;Masculino;5;23;A090;Otras gastroenteritis y colitis de origen infeccioso
A090;Masculino;6;15;A090;Otras gastroenteritis y colitis de origen infeccioso
A090;Masculino;7;23;A090;Otras gastroenteritis y colitis de origen infeccioso
A090;Masculino;8;7;A090;Otras gastroenteritis y colitis de origen infeccioso
A090;Masculino;9;15;A090;Otras gastroenteritis y colitis de origen infeccioso
A090;Masculino;10;9;A090;Otras gastroenteritis y colitis de origen infeccioso
A090;Masculino;11;15;A090;Otras gastroenteritis y colitis de origen infeccioso
A090;Masculino;12;14;A090;Otras gastroenteritis y colitis de origen infeccioso
A090;Femenino;1;13;A090;Otras gastroenteritis y colitis de origen infeccioso
A090;Femenino;2;14;A090;Otras gastroenteritis y colitis de origen infeccioso
A090;Femenino;3;21;A090;Otras gastroenteritis y colitis de origen infeccioso
A090;Femenino;4;16;A090;Otras gastroenteritis y colitis de origen infeccioso
A090;Femenino;5;18;A090;Otras gastroenteritis y colitis de origen infeccioso
A090;Femenino;6;21;A090;Otras gastroenteritis y colitis de origen infeccioso
A090;Femenino;7;13;A090;Otras gastroenteritis y colitis de origen infeccioso
A090;Femenino;8;13;A090;Otras gastroenteritis y colitis de origen infeccioso
A090;Femenino;9;12;A090;Otras gastroenteritis y colitis de origen infeccioso
A090;Femenino;10;30;A090;Otras gastroenteritis y colitis de origen infeccioso
A090;Femenino;11;14;A090;Otras gastroenteritis y colitis de origen infeccioso
A090;Femenino;12;19;A090;Otras gastroenteritis y colitis de origen infeccioso
A099;Masculino;1;23;A099;Gastroenteritis y colitis de origen no especificado
A099;Masculino;2;24;A099;Gastroenteritis y colitis de origen no especificado
A099;Masculino;3;21;A099;Gastroenteritis y colitis de origen no especificado
A099;Masculino;4;18;A099;Gastroenteritis y colitis de origen no especificado
A099;Masculino;5;26;A099;Gastroenteritis y colitis de origen no especificado
A099;Masculino;6;26;A099;Gastroenteritis y colitis de origen no especificado
A099;Masculino;7;22;A099;Gastroenteritis y colitis de origen no especificado
A099;Masculino;8;17;A099;Gastroenteritis y colitis de origen no especificado
A099;Masculino;9;18;A099;Gastroenteritis y colitis de origen no especificado
A099;Masculino;10;19;A099;Gastroenteritis y colitis de origen no especificado
A099;Masculino;11;22;A099;Gastroenteritis y colitis de origen no especificado
A099;Masculino;12;22;A099;Gastroenteritis y colitis de origen no especificado
A099;Femenino;1;23;A099;Gastroenteritis y colitis de origen no especificado
A099;Femenino;2;26;A099;Gastroenteritis y colitis de origen no especificado
A099;Femenino;3;23;A099;Gastroenteritis y colitis de origen no especificado
A099;Femenino;4;24;A099;Gastroenteritis y colitis de origen no especificado
A099;Femenino;5;18;A099;Gastroenteritis y colitis de origen no especificado
A099;Femenino;6;20;A099;Gastroenteritis y colitis de origen no especificado
A099;Femenino;7;26;A099;Gastroenteritis y colitis de origen no especificado
A099;Femenino;8;19;A099;Gastroenteritis y colitis de origen no especificado
A099;Femenino;9;15;A099;Gastroenteritis y colitis de origen no especificado
A099;Femenino;10;31;A099;Gastroenteritis y colitis de origen no especificado
A099;Femenino;11;31;A099;Gastroenteritis y colitis de origen no especificado
A099;Femenino;12;18;A099;Gastroenteritis y colitis de origen no especificado
A150;Masculino;3;1;A150;Tuberculosis del pulmon, confirmada por hallazgo microscopico del bacilo tuberculoso en esputo, con o sin cultivo
A150;Masculino;5;2;A150;Tuberculosis del pulmon, confirmada por hallazgo microscopico del bacilo tuberculoso en esputo, con o sin cultivo
A150;Masculino;6;1;A150;Tuberculosis del pulmon, confirmada por hallazgo microscopico del bacilo tuberculoso en esputo, con o sin cultivo
A150;Masculino;7;1;A150;Tuberculosis del pulmon, confirmada por hallazgo microscopico del bacilo tuberculoso en esputo, con o sin cultivo
A150;Masculino;8;1;A150;Tuberculosis del pulmon, confirmada por hallazgo microscopico del bacilo tuberculoso en esputo, con o sin cultivo
A150;Masculino;9;2;A150;Tuberculosis del pulmon, confirmada por hallazgo microscopico del bacilo tuberculoso en esputo, con o sin cultivo
A150;Femenino;12;1;A150;Tuberculosis del pulmon, confirmada por hallazgo microscopico del bacilo tuberculoso en esputo, con o sin cultivo
A151;Masculino;3;1;A151;Tuberculosis del pulmon, confirmada unicamente por cultivo
A151;Masculino;12;1;A151;Tuberculosis del pulmon, confirmada unicamente por cultivo
A152;Masculino;9;2;A152;Tuberculosis del pulmon, confirmada histologicamente
A152;Masculino;10;1;A152;Tuberculosis del pulmon, confirmada histologicamente
A152;Masculino;12;1;A152;Tuberculosis del pulmon, confirmada histologicamente
A152;Femenino;10;1;A152;Tuberculosis del pulmon, confirmada histologicamente
A152;Femenino;12;1;A152;Tuberculosis del pulmon, confirmada histologicamente
A153;Masculino;1;1;A153;Tuberculosis del pulmon, confirmada por medios no especificados
A153;Masculino;2;1;A153;Tuberculosis del pulmon, confirmada por medios no especificados
A153;Masculino;3;1;A153;Tuberculosis del pulmon, confirmada por medios no especificados
A153;Masculino;9;2;A153;Tuberculosis del pulmon, confirmada por medios no especificados
A153;Masculino;11;1;A153;Tuberculosis del pulmon, confirmada por medios no especificados
A153;Femenino;2;2;A153;Tuberculosis del pulmon, confirmada por medios no especificados
A153;Femenino;4;1;A153;Tuberculosis del pulmon, confirmada por medios no especificados
A153;Femenino;9;1;A153;Tuberculosis del pulmon, confirmada por medios no especificados
A153;Femenino;11;1;A153;Tuberculosis del pulmon, confirmada por medios no especificados
A156;Masculino;2;1;A156;Pleuresia tuberculosa, confirmada bacteriologica e histologicamente
A156;Masculino;5;1;A156;Pleuresia tuberculosa, confirmada bacteriologica e histologicamente
A156;Femenino;8;1;A156;Pleuresia tuberculosa, confirmada bacteriologica e histologicamente
A157;Femenino;3;1;A157;Tuberculosis respiratoria primaria, confirmada bacteriologica e histologicamente
A157;Femenino;9;1;A157;Tuberculosis respiratoria primaria, confirmada bacteriologica e histologicamente
A158;Femenino;5;1;A158;Otras tuberculosis respiratorias, confirmadas bacteriologica e histologicamente
A160;Masculino;7;1;A160;Tuberculosis del pulmon, con examen bacteriologico e histologico negativos
A160;Femenino;1;1;A160;Tuberculosis del pulmon, con examen bacteriologico e histologico negativos
A162;Masculino;1;33;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A162;Masculino;2;30;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A162;Masculino;3;34;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A162;Masculino;4;34;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A162;Masculino;5;47;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A162;Masculino;6;48;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A162;Masculino;7;46;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A162;Masculino;8;59;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A162;Masculino;9;61;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A162;Masculino;10;49;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A162;Masculino;11;35;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A162;Masculino;12;32;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A162;Femenino;1;15;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A162;Femenino;2;10;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A162;Femenino;3;20;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A162;Femenino;4;27;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A162;Femenino;5;9;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A162;Femenino;6;26;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A162;Femenino;7;26;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A162;Femenino;8;22;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A162;Femenino;9;14;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A162;Femenino;10;13;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A162;Femenino;11;18;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A162;Femenino;12;23;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A163;Masculino;8;1;A163;Tuberculosis de ganglios linfaticos intratoracicos, sin mencion de confirmacion bacteriologica o histologica
A165;Masculino;2;1;A165;Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica o histologica
A165;Masculino;3;4;A165;Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica o histologica
A165;Masculino;4;2;A165;Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica o histologica
A165;Masculino;5;1;A165;Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica o histologica
A165;Masculino;6;3;A165;Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica o histologica
A165;Masculino;7;4;A165;Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica o histologica
A165;Masculino;8;2;A165;Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica o histologica
A165;Masculino;10;2;A165;Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica o histologica
A165;Masculino;11;4;A165;Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica o histologica
A165;Masculino;12;2;A165;Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica o histologica
A165;Femenino;2;1;A165;Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica o histologica
A165;Femenino;4;1;A165;Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica o histologica
A165;Femenino;7;1;A165;Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica o histologica
A165;Femenino;9;1;A165;Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica o histologica
A165;Femenino;10;3;A165;Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica o histologica
A167;Masculino;10;1;A167;Tuberculosis respiratoria primaria, sin mencion de confirmacion bacteriologica o histologica
A167;Femenino;4;1;A167;Tuberculosis respiratoria primaria, sin mencion de confirmacion bacteriologica o histologica
A167;Femenino;6;1;A167;Tuberculosis respiratoria primaria, sin mencion de confirmacion bacteriologica o histologica
A168;Masculino;7;1;A168;Otras tuberculosis respiratorias, sin mencion de confirmacion
A169;Masculino;1;6;A169;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
A169;Masculino;2;6;A169;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
A169;Masculino;3;7;A169;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
A169;Masculino;4;11;A169;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
A169;Masculino;5;6;A169;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
A169;Masculino;6;8;A169;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
A169;Masculino;7;10;A169;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
A169;Masculino;8;9;A169;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
A169;Masculino;9;7;A169;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
A169;Masculino;10;11;A169;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
A169;Masculino;11;18;A169;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
A169;Masculino;12;18;A169;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
A169;Femenino;1;3;A169;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
A169;Femenino;2;5;A169;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
A169;Femenino;4;2;A169;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
A169;Femenino;5;5;A169;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
A169;Femenino;6;3;A169;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
A169;Femenino;7;2;A169;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
A169;Femenino;8;3;A169;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
A169;Femenino;9;8;A169;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
A169;Femenino;10;8;A169;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
A169;Femenino;11;5;A169;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
A169;Femenino;12;5;A169;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
A170;Masculino;1;2;A170;Meningitis tuberculosa
A170;Masculino;2;2;A170;Meningitis tuberculosa
A170;Masculino;3;1;A170;Meningitis tuberculosa
A170;Masculino;4;2;A170;Meningitis tuberculosa
A170;Masculino;5;3;A170;Meningitis tuberculosa
A170;Masculino;6;3;A170;Meningitis tuberculosa
A170;Masculino;7;1;A170;Meningitis tuberculosa
A170;Masculino;8;4;A170;Meningitis tuberculosa
A170;Masculino;9;4;A170;Meningitis tuberculosa
A170;Masculino;10;7;A170;Meningitis tuberculosa
A170;Masculino;11;2;A170;Meningitis tuberculosa
A170;Masculino;12;4;A170;Meningitis tuberculosa
A170;Femenino;1;1;A170;Meningitis tuberculosa
A170;Femenino;2;7;A170;Meningitis tuberculosa
A170;Femenino;3;3;A170;Meningitis tuberculosa
A170;Femenino;4;1;A170;Meningitis tuberculosa
A170;Femenino;7;2;A170;Meningitis tuberculosa
A170;Femenino;8;3;A170;Meningitis tuberculosa
A170;Femenino;9;2;A170;Meningitis tuberculosa
A170;Femenino;11;2;A170;Meningitis tuberculosa
A170;Femenino;12;2;A170;Meningitis tuberculosa
A178;Masculino;7;1;A178;Otras tuberculosis del sistema nervioso
A178;Masculino;9;1;A178;Otras tuberculosis del sistema nervioso
A178;Masculino;10;1;A178;Otras tuberculosis del sistema nervioso
A178;Masculino;12;1;A178;Otras tuberculosis del sistema nervioso
A178;Femenino;2;1;A178;Otras tuberculosis del sistema nervioso
A178;Femenino;3;1;A178;Otras tuberculosis del sistema nervioso
A178;Femenino;4;1;A178;Otras tuberculosis del sistema nervioso
A178;Femenino;10;1;A178;Otras tuberculosis del sistema nervioso
A179;Masculino;1;1;A179;Tuberculosis del sistema nervioso, no especificada
A179;Masculino;8;1;A179;Tuberculosis del sistema nervioso, no especificada
A179;Masculino;11;1;A179;Tuberculosis del sistema nervioso, no especificada
A179;Femenino;2;1;A179;Tuberculosis del sistema nervioso, no especificada
A179;Femenino;7;1;A179;Tuberculosis del sistema nervioso, no especificada
A180;Masculino;3;1;A180;Tuberculosis de huesos y articulaciones
A180;Masculino;7;1;A180;Tuberculosis de huesos y articulaciones
A180;Femenino;8;1;A180;Tuberculosis de huesos y articulaciones
A180;Femenino;9;1;A180;Tuberculosis de huesos y articulaciones
A181;Masculino;7;1;A181;Tuberculosis del aparato genitourinario
A181;Femenino;11;1;A181;Tuberculosis del aparato genitourinario
A182;Femenino;1;1;A182;Linfadenopatia periferica tuberculosa
A182;Femenino;5;1;A182;Linfadenopatia periferica tuberculosa
A182;Femenino;9;2;A182;Linfadenopatia periferica tuberculosa
A183;Masculino;5;1;A183;Tuberculosis de los intestinos, el peritoneo y los ganglios mesentericos
A183;Masculino;7;1;A183;Tuberculosis de los intestinos, el peritoneo y los ganglios mesentericos
A183;Masculino;10;2;A183;Tuberculosis de los intestinos, el peritoneo y los ganglios mesentericos
A183;Masculino;11;1;A183;Tuberculosis de los intestinos, el peritoneo y los ganglios mesentericos
A187;Masculino;2;1;A187;Tuberculosis de glandulas suprarrenales
A188;Masculino;1;1;A188;Tuberculosis de otros organos especificados
A188;Masculino;4;1;A188;Tuberculosis de otros organos especificados
A188;Masculino;7;1;A188;Tuberculosis de otros organos especificados
A188;Femenino;5;1;A188;Tuberculosis de otros organos especificados
A188;Femenino;8;1;A188;Tuberculosis de otros organos especificados
A188;Femenino;12;1;A188;Tuberculosis de otros organos especificados
A199;Masculino;2;3;A199;Tuberculosis miliar, sin otra especificacion
A199;Masculino;3;2;A199;Tuberculosis miliar, sin otra especificacion
A199;Masculino;4;3;A199;Tuberculosis miliar, sin otra especificacion
A199;Masculino;5;4;A199;Tuberculosis miliar, sin otra especificacion
A199;Masculino;6;2;A199;Tuberculosis miliar, sin otra especificacion
A199;Masculino;7;3;A199;Tuberculosis miliar, sin otra especificacion
A199;Masculino;8;1;A199;Tuberculosis miliar, sin otra especificacion
A199;Masculino;9;4;A199;Tuberculosis miliar, sin otra especificacion
A199;Masculino;10;1;A199;Tuberculosis miliar, sin otra especificacion
A199;Masculino;11;1;A199;Tuberculosis miliar, sin otra especificacion
A199;Masculino;12;3;A199;Tuberculosis miliar, sin otra especificacion
A199;Femenino;1;3;A199;Tuberculosis miliar, sin otra especificacion
A199;Femenino;3;2;A199;Tuberculosis miliar, sin otra especificacion
A199;Femenino;4;2;A199;Tuberculosis miliar, sin otra especificacion
A199;Femenino;6;2;A199;Tuberculosis miliar, sin otra especificacion
A199;Femenino;7;1;A199;Tuberculosis miliar, sin otra especificacion
A199;Femenino;8;2;A199;Tuberculosis miliar, sin otra especificacion
A199;Femenino;9;1;A199;Tuberculosis miliar, sin otra especificacion
A199;Femenino;10;2;A199;Tuberculosis miliar, sin otra especificacion
A199;Femenino;11;1;A199;Tuberculosis miliar, sin otra especificacion
A199;Femenino;12;2;A199;Tuberculosis miliar, sin otra especificacion
A270;Masculino;1;1;A270;Leptospirosis icterohemorragica
A270;Masculino;3;1;A270;Leptospirosis icterohemorragica
A270;Masculino;5;1;A270;Leptospirosis icterohemorragica
A270;Masculino;8;1;A270;Leptospirosis icterohemorragica
A270;Masculino;10;3;A270;Leptospirosis icterohemorragica
A270;Masculino;11;1;A270;Leptospirosis icterohemorragica
A270;Femenino;4;1;A270;Leptospirosis icterohemorragica
A270;Femenino;5;1;A270;Leptospirosis icterohemorragica
A270;Femenino;8;1;A270;Leptospirosis icterohemorragica
A270;Femenino;11;2;A270;Leptospirosis icterohemorragica
A270;Femenino;12;1;A270;Leptospirosis icterohemorragica
A278;Femenino;10;1;A278;Otras formas de leptospirosis
A279;Masculino;1;2;A279;Leptospirosis, no especificada
A279;Masculino;3;3;A279;Leptospirosis, no especificada
A279;Masculino;4;2;A279;Leptospirosis, no especificada
A279;Masculino;5;1;A279;Leptospirosis, no especificada
A279;Masculino;6;2;A279;Leptospirosis, no especificada
A279;Masculino;7;4;A279;Leptospirosis, no especificada
A279;Masculino;9;4;A279;Leptospirosis, no especificada
A279;Masculino;11;2;A279;Leptospirosis, no especificada
A279;Masculino;12;1;A279;Leptospirosis, no especificada
A279;Femenino;2;2;A279;Leptospirosis, no especificada
A279;Femenino;5;3;A279;Leptospirosis, no especificada
A279;Femenino;6;1;A279;Leptospirosis, no especificada
A279;Femenino;7;1;A279;Leptospirosis, no especificada
A279;Femenino;8;3;A279;Leptospirosis, no especificada
A279;Femenino;10;1;A279;Leptospirosis, no especificada
A279;Femenino;11;1;A279;Leptospirosis, no especificada
A279;Femenino;12;1;A279;Leptospirosis, no especificada
A305;Femenino;4;1;A305;Lepra lepromatosa
A305;Femenino;12;1;A305;Lepra lepromatosa
A309;Masculino;1;1;A309;Lepra, no especificada
A309;Masculino;3;2;A309;Lepra, no especificada
A309;Masculino;4;1;A309;Lepra, no especificada
A309;Masculino;5;1;A309;Lepra, no especificada
A309;Masculino;8;1;A309;Lepra, no especificada
A309;Femenino;1;1;A309;Lepra, no especificada
A321;Masculino;1;1;A321;Meningitis y meningoencefalitis listeriana
A321;Masculino;7;1;A321;Meningitis y meningoencefalitis listeriana
A321;Masculino;10;1;A321;Meningitis y meningoencefalitis listeriana
A321;Femenino;6;1;A321;Meningitis y meningoencefalitis listeriana
A321;Femenino;7;1;A321;Meningitis y meningoencefalitis listeriana
A329;Masculino;5;1;A329;Listeriosis, no especificada
A35;Masculino;3;1;;
A35;Masculino;5;1;;
A35;Masculino;6;1;;
A35;Masculino;8;1;;
A35;Masculino;10;1;;
A35;Masculino;11;2;;
A35;Femenino;1;2;;
A35;Femenino;3;1;;
A35;Femenino;8;1;;
A35;Femenino;10;1;;
A370;Masculino;3;1;A370;Tos ferina debida a Bordetella pertussis
A370;Masculino;11;1;A370;Tos ferina debida a Bordetella pertussis
A370;Femenino;5;2;A370;Tos ferina debida a Bordetella pertussis
A379;Masculino;1;1;A379;Tos ferina, no especificada
A379;Masculino;8;1;A379;Tos ferina, no especificada
A379;Femenino;3;1;A379;Tos ferina, no especificada
A379;Femenino;5;1;A379;Tos ferina, no especificada
A379;Femenino;7;1;A379;Tos ferina, no especificada
A390;Masculino;5;1;A390;Meningitis meningococica
A390;Masculino;7;2;A390;Meningitis meningococica
A390;Masculino;11;1;A390;Meningitis meningococica
A390;Masculino;12;1;A390;Meningitis meningococica
A390;Femenino;2;1;A390;Meningitis meningococica
A390;Femenino;8;1;A390;Meningitis meningococica
A392;Femenino;5;2;A392;Meningococemia aguda
A392;Femenino;9;1;A392;Meningococemia aguda
A394;Masculino;2;1;A394;Meningococemia, no especificada
A394;Masculino;3;1;A394;Meningococemia, no especificada
A394;Masculino;4;1;A394;Meningococemia, no especificada
A394;Masculino;5;2;A394;Meningococemia, no especificada
A394;Masculino;6;1;A394;Meningococemia, no especificada
A394;Masculino;9;2;A394;Meningococemia, no especificada
A394;Masculino;12;1;A394;Meningococemia, no especificada
A394;Femenino;5;1;A394;Meningococemia, no especificada
A394;Femenino;8;1;A394;Meningococemia, no especificada
A394;Femenino;10;2;A394;Meningococemia, no especificada
A399;Masculino;3;1;A399;Enfermedad meningococica, no especificada
A399;Masculino;5;1;A399;Enfermedad meningococica, no especificada
A399;Femenino;5;1;A399;Enfermedad meningococica, no especificada
A403;Masculino;2;1;A403;Sepsis debida a Streptococcus pneumoniae
